"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"11-Mar",0,0,0,0,,0,27.02228,7.913647,8.971311,0,0,0,9.377856,3.283719,0,0,4.246782,0,12.72797,11.45154,0,19.48521,0,0,9.484952,0,4.880396,0,0,0,1.512454,5.853965,0,0,0,3.769432,0,13.11148,0
"12-Mar",0,2.135545,0,0,3.401587,0,1.013685,4.010172,6.133419,0,3.124664,6.609013,10.48724,0,0,0,0,0,0,18.47566,0,20.77947,0.4490358,0,0,0,0,0,0,0,7.566922,16.06094,0,0,0,16.3224,0,21.91683,0
"13-Mar",5.32277,10.90104,0,0,7.496402,0,5.399331,9.217217,28.33545,0,0,0,7.638026,0,0,0,3.575222,0,17.37777,13.18404,1.480987,6.9418,0,15.79551,0,12.47155,3.569505,0,5.336606,0,11.55523,32.03624,0,0,0,0,0,0,0
"14-Mar",2.309321,4.351264,0,0,,0,7.389596,11.33585,33.68701,0,0,4.567966,0,3.067253,0,0,20.10462,0,0,3.445738,0,2.338022,24.02927,0,0,1.32466,7.319208,0,12.47815,0,11.92735,0,0,0,0,14.8065,7.242685,6.9707,0
"15-Mar",4.106289,6.798634,,0,7.476852,5.432642,0,55.91419,0,0,0,9.573413,6.686361,12.10261,0,0,7.375519,8.990325,7.04345,4.016353,3.827005,0,6.091027,0,15.88097,3.626369,1.7888,0,13.71484,0,5.536011,2.647071,0,0,6.896856,7.06451,0,11.78135,0
"16-Mar",0,0,,1.683619,39.38028,0,4.51091,10.14751,0,0,0,3.93827,0,0,3.805612,0,0.7304882,12.60556,3.831316,0,7.005973,6.099535,9.149851,4.40168,14.30277,0,8.808248,11.96955,0.86327,0,0,7.844653,0,0,37.16402,20.14897,0,7.961068,13
"17-Mar",7.599661,0,0,10.3754,9.332825,5.140419,5.265964,15.86063,0,2.425352,0,14.2903,0,6.430826,2.299797,,4.07321,3.005961,6.548444,5.087262,3.896441,0,17.03006,0,0,5.088621,5.089979,9.802161,0,0,4.769929,0,0,0,0,3.529414,0,15.40429,33
"18-Mar",0,0,3.276134,0,19.59315,11.91381,13.78689,4.583942,0,0,6.295821,29.94334,0,0,0.6153456,6.962091,8.288779,0,2.738496,9.706752,0,8.397779,5.299297,17.78344,25.42541,27.04058,2.436366,0,12.12197,1.805307,1.592968,0,0,6.044737,11.67905,20.18336,0,20.12673,19
"19-Mar",0,0,5.218654,0,39.43754,7.615445,12.54009,0,0,15.15333,0,33.3199,0,4.806175,0,0,5.379434,0,8.629046,15.45445,0,2.409398,8.692361,3.612639,14.26164,2.714386,0,23.49977,13.26563,0,37.77437,0,0,0,0,9.017018,0,14.93718,27
"20-Mar",0,0,0,6.262882,0,7.012316,6.684905,5.599391,0,0,0,0,0,0,0,3.435494,0,0,3.884256,13.30948,0,4.23918,16.27727,0,4.125491,2.154292,0,10.77198,20.02398,0,0,0,0,0,3.390677,16.39552,0,8.080425,16
